name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
san francisco,2023-07-03T00:00:00,62.4,62.4,55.5,78.25,0,0,,0,0,10.3,10,322,1012.4,23,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-03T01:00:00,61.3,61.3,55.9,82.44,0,0,,0,0,10.3,9.3,322,1012.3,23,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-03T02:00:00,60.2,60.2,55.7,84.91,0,0,,0,0,10.3,7.6,324,1012.4,23,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-03T03:00:00,60.2,60.2,55.7,84.91,0,0,,0,0,10.3,7.4,320,1012.2,23,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-03T04:00:00,59.7,59.7,56,87.7,0,0,,0,0,10.3,9.5,307,1012.3,23,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-03T05:00:00,58.7,58.7,55.3,88.54,0,0,,0,0,10.3,6.2,306,1012.3,38.3,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,72494023234"
san francisco,2023-07-03T06:00:00,58.1,58.1,55.3,90.18,0,0,,0,0,10.3,4.9,315,1012.4,32.3,9.7,11,0,0,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T07:00:00,59.7,59.7,56.2,88.17,0,0,,0,0,8.1,4.5,306,1012.7,48.5,9.9,68,0.2,1,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T08:00:00,63,63,56.6,79.36,0,0,,0,0,8.1,3.2,337,1012.8,48.5,9.9,259,0.9,3,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T09:00:00,64.3,64.3,57.5,78.4,0,0,,0,0,9.2,6.1,334,1013,32.3,9.9,268,1,3,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T10:00:00,65.9,65.9,57.8,75.26,0,0,,0,0,10.3,8.2,341,1012.9,22.5,9.9,385,1.4,4,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,C5988,72494023234"
san francisco,2023-07-03T11:00:00,66.8,66.8,57.5,71.97,0,0,,0,0,11.4,10.6,349,1012.9,23,9.9,418,1.5,4,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T12:00:00,69.3,69.3,57.1,65.18,0,0,,0,0,13.9,11,348,1012.9,23,9.9,486,1.7,5,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T13:00:00,69.3,69.3,56.9,64.82,0,0,,0,0,15,13.7,324,1012.8,23,9.9,548,2,5,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T14:00:00,70,70,56.2,61.49,0,0,,0,0,34.4,16.2,320,1012.6,23,9.9,621,2.2,6,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T15:00:00,70.2,70.2,56.2,61.18,0,0,,0,0,34.5,17.1,318,1012.3,23,9.9,712,2.6,7,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T16:00:00,70.5,70.5,56,60.14,0,0,,0,0,37.4,15.5,312,1012,23,9.9,782,2.8,8,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T17:00:00,69.1,69.1,55.1,61.14,0,0,,0,0,33.9,15.6,310,1011.6,23,9.9,503,1.8,5,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T18:00:00,66.6,66.6,55.1,66.61,0,0,,0,0,33.9,18.1,304,1011.5,23,9.9,554,2,6,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T19:00:00,64.5,64.5,53.8,68.05,0,0,,0,0,15,15.1,307,1011.7,23,9.9,299,1.1,3,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T20:00:00,61.4,61.4,53.2,74.39,0,0,,0,0,13.9,15.8,296,1012,23,9.9,69,0.2,1,10,Partially cloudy,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T21:00:00,59.2,59.2,53.1,80.08,0,0,,0,0,12.8,13.6,312,1012.2,23,9.9,9,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2023-07-03T22:00:00,58.1,58.1,53.1,83.16,0,0,,0,0,11.4,9,312,1012.6,23,9.9,34,0.1,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-03T23:00:00,57.9,57.9,53.1,83.74,0,0,,0,0,10.3,8.6,313,1013,23,9.9,28,0.1,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2023-07-04T00:00:00,57.9,57.9,53.4,84.91,0,0,,0,0,9.2,7.6,326,1012.9,32.3,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
